WORD,FREQ,FIC 1950-60,FIC 1970-80,FIC 1990-2000,NONFIC 1950-60,NONFIC 1970-80,NONFIC 1990-2000,TYPE_a,TYPE_adv,TYPE_advpro,TYPE_anum,TYPE_apro,TYPE_conj,TYPE_intj,TYPE_num,TYPE_part,TYPE_pr,TYPE_s,TYPE_spro,TYPE_v
и,35801.8,37546.0,39187.7,36514.7,36703.6,38352.1,35539.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
в,31374.2,23943.5,25005.7,26185.7,35295.3,33264.3,36372.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
не,18028.0,21154.3,22921.5,22349.1,16127.4,18796.9,16853.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
на,15863.801543715503,17159.313079945292,16403.607991571156,16657.204036283354,15248.300295056815,15960.400281894834,16673.90020268042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00022053078609773926,0.9997794692139023,0.0,0.0,0.0
я,12684.4,17022.7,17090.5,18257.0,13881.5,16386.7,10447.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
быть,12160.7,12467.9,13492.8,12778.1,14458.2,15091.8,12646.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
он,11791.1,19708.0,18587.1,16882.0,11721.6,12799.3,8811.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
с,11307.802971014491,11183.601117208587,10968.805712204006,11654.700061771291,11047.231947479637,11660.300829854175,11458.10369049384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003623188405797101,0.9996376811594203,0.0,0.0,0.0
а,8169.552493132035,10210.64188032542,10717.929332495914,9854.62747995614,5734.05923522676,7635.614217749314,7288.8200963222425,0.0,0.0,0.0,0.0,0.0,0.9965234726375416,0.0024068266355481,0.0,0.0007414970947900711,0.0,0.0003282036321201955,0.0,0.0
что,6862.056523791309,6831.639798597982,6956.4486559770185,7444.217326183044,6315.214811033596,8033.489243913504,7234.4428537852655,0.0,0.0,0.009863200983064915,0.0,0.0,0.679844727826108,0.0,0.0,0.00021972477437520851,0.0,0.0,0.3100723464164516,0.0
по,5786.7,4506.0,4616.7,4840.0,5059.6,5353.8,6656.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
она,5592.4,8375.6,8348.8,9474.0,5302.7,4673.6,3733.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
этот,5414.0,5140.8,4817.3,4723.1,6032.0,6689.8,5919.4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
к,5389.0,5698.6,5318.7,5363.7,5874.9,5954.7,5341.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
но,5381.4,5698.3,6201.0,6256.6,5234.5,6324.1,5597.2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
это,5311.651102113532,5605.66987254827,5728.070484568181,5573.263326226013,5112.783382674279,6226.234974922785,5424.735380788668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07558506761681108,0.0,0.0,0.924414932383189,0.0
они,4850.0,5869.7,5636.6,5358.9,4683.0,5658.6,4788.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
мы,4704.8,4525.6,4482.9,4194.8,5424.2,8155.8,5241.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
из,4314.1,3804.5,3846.3,4290.8,4634.1,4804.2,4774.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
